BR,PT,TY,LAB,V,L2-NORM,C_in,C_SR,U(3),U(4),stability,system_id
1,4902,,0,-5.25609E+01,2.77817E+01,1.79349E-01,2.77811E+01,0.00000E+00,0.00000E+00,4,P1
1,5002,,0,-5.25110E+01,2.77829E+01,1.79473E-01,2.77823E+01,0.00000E+00,0.00000E+00,4,P1
1,5102,,0,-5.24610E+01,2.77841E+01,1.79598E-01,2.77835E+01,0.00000E+00,0.00000E+00,4,P1
1,5202,,0,-5.24110E+01,2.77853E+01,1.79722E-01,2.77847E+01,0.00000E+00,0.00000E+00,4,P1
1,5302,,0,-5.23610E+01,2.77865E+01,1.79846E-01,2.77859E+01,0.00000E+00,0.00000E+00,4,P1
1,5402,,0,-5.23110E+01,2.77876E+01,1.79970E-01,2.77870E+01,0.00000E+00,0.00000E+00,4,P1
1,5502,,0,-5.22610E+01,2.77888E+01,1.80093E-01,2.77882E+01,0.00000E+00,0.00000E+00,4,P1
1,5602,,0,-5.22110E+01,2.77899E+01,1.80217E-01,2.77893E+01,0.00000E+00,0.00000E+00,4,P1
1,5702,,0,-5.21610E+01,2.77910E+01,1.80341E-01,2.77904E+01,0.00000E+00,0.00000E+00,4,P1
1,5802,,0,-5.21111E+01,2.77921E+01,1.80465E-01,2.77915E+01,0.00000E+00,0.00000E+00,4,P1
1,5902,,0,-5.20611E+01,2.77932E+01,1.80588E-01,2.77926E+01,0.00000E+00,0.00000E+00,4,P1
1,6002,,0,-5.20111E+01,2.77943E+01,1.80712E-01,2.77937E+01,0.00000E+00,0.00000E+00,4,P1
1,6102,,0,-5.19611E+01,2.77953E+01,1.80835E-01,2.77947E+01,0.00000E+00,0.00000E+00,4,P1
1,6202,,0,-5.19111E+01,2.77964E+01,1.80958E-01,2.77958E+01,0.00000E+00,0.00000E+00,4,P1
1,6302,,0,-5.18611E+01,2.77974E+01,1.81081E-01,2.77968E+01,0.00000E+00,0.00000E+00,4,P1
1,6402,,0,-5.18111E+01,2.77984E+01,1.81204E-01,2.77978E+01,0.00000E+00,0.00000E+00,4,P1
1,6502,,0,-5.17611E+01,2.77994E+01,1.81327E-01,2.77988E+01,0.00000E+00,0.00000E+00,4,P1
1,6602,,0,-5.17111E+01,2.78004E+01,1.81450E-01,2.77998E+01,0.00000E+00,0.00000E+00,4,P1
1,6702,,0,-5.16612E+01,2.78013E+01,1.81573E-01,2.78007E+01,0.00000E+00,0.00000E+00,4,P1
1,6802,,0,-5.16112E+01,2.78023E+01,1.81696E-01,2.78017E+01,0.00000E+00,0.00000E+00,4,P1
1,6902,,0,-5.15612E+01,2.78032E+01,1.81818E-01,2.78026E+01,0.00000E+00,0.00000E+00,4,P1
1,7002,,0,-5.15112E+01,2.78041E+01,1.81941E-01,2.78035E+01,0.00000E+00,0.00000E+00,4,P1
1,7102,,0,-5.14612E+01,2.78050E+01,1.82063E-01,2.78044E+01,0.00000E+00,0.00000E+00,4,P1
1,7202,,0,-5.14112E+01,2.78059E+01,1.82185E-01,2.78053E+01,0.00000E+00,0.00000E+00,4,P1
1,7302,,0,-5.13612E+01,2.78068E+01,1.82307E-01,2.78062E+01,0.00000E+00,0.00000E+00,4,P1
1,7402,,0,-5.13112E+01,2.78077E+01,1.82429E-01,2.78071E+01,0.00000E+00,0.00000E+00,4,P1
1,7502,,0,-5.12612E+01,2.78085E+01,1.82551E-01,2.78079E+01,0.00000E+00,0.00000E+00,4,P1
